timestamp_ms,distance_cm
13041,12.72
13061,44.83
13061,12.72
13081,32.28
13081,12.72
13101,32.28
13101,12.71
13121,32.26
13121,12.71
13141,32.28
13141,12.71
13161,44.84
13161,12.71
13181,37.41
13181,12.71
13201,37.84
13201,12.71
13221,32.29
13221,12.71
13241,32.29
13241,12.72
13261,30.97
13261,12.69
13281,32.28
13281,12.71
13301,32.28
13301,12.71
13321,45.24
13321,12.71
13341,45.22
13341,12.71
13361,37.40
13361,12.71
13381,37.40
13381,12.72
13401,32.29
13401,12.71
13421,37.38
13421,12.72
13441,44.83
13441,12.71
13461,44.81
13461,12.71
13481,44.81
13481,12.71
13501,44.83
13501,12.69
13521,37.36
13521,12.71

--- VELOCITY ---

timestamp_ms,delta_cm,velocity_cm_s
301,10.00,862.40
401,152.28,129487.24
501,152.29,129612.08
601,152.26,129252.78
701,154.93,151591.52
801,152.17,128742.61
901,152.17,128742.61
1001,152.16,128402.16
1101,152.21,128880.76
1201,152.17,128742.61
1301,154.43,146933.94
1401,152.24,129128.57
1501,154.46,147246.89
1601,154.87,150950.20
1701,154.50,147139.44
1801,154.93,151147.83
1901,154.44,147090.27
2001,154.48,146983.06
2101,154.87,150950.20
2201,154.86,150933.44
2301,155.31,155305.05
2401,154.84,150769.72
2501,154.91,151574.67
2601,154.89,151261.83
2701,154.89,151114.25
2801,154.89,151261.83
2901,154.87,150950.20
3001,154.46,147246.89
3101,154.89,151261.83
3201,154.87,151097.47
3301,154.84,150769.72
3401,154.87,150950.20
3501,154.89,150673.25
3601,152.62,131911.03
3701,153.62,140035.50
3801,153.19,136288.98
3901,153.76,141061.08
4001,153.31,137373.89
4101,153.36,137790.55
4201,154.22,144944.66
4301,154.60,148368.17
4401,154.17,144624.30
4501,155.01,152271.67
4601,154.98,152237.88
4701,154.94,151756.84
5101,61.22,4647.29
5401,144.36,16158.95
5701,148.92,17099.82
6001,146.34,17312.44
6301,150.26,17415.87
6601,151.55,17952.43
6901,127.32,12851.96
7201,46.74,4218.57
7401,88.94,10139.45
7501,153.15,135415.03
7701,104.29,11935.33
7801,176.66,785167.00
7901,151.54,13325.47
8001,176.54,784631.44
8201,111.95,12319.53
8301,176.54,781159.56
8401,150.26,13189.16
8601,151.57,13328.49
8701,176.54,781159.56
8901,127.44,12780.25
9101,10.07,3628.45
9201,10.12,3696.01
9301,10.02,3838.79
9501,260.52,13462.15
10001,71.55,10543.34
10101,10.04,3687.72
10201,10.04,3687.72
10301,10.55,3875.84
10401,10.20,3747.65
10501,10.20,3852.51
10601,10.20,3849.77
10701,10.20,3849.60
10801,10.14,3828.52
11201,10.71,3113.53
11301,70.66,5799.84
11901,176.70,774986.81
12001,145.93,94452.59
12101,146.31,96191.77
12201,146.36,96352.39
12301,144.83,89955.54
12401,11.64,1205.11
